epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.99478,1.7064,4.60595,1.3313,0.00202,0.89474,0.00337,0.00163,1.41666,4.7523,1.23762,0.00056,0.00056,0.00056
2,7.5466,1.68779,3.37793,1.27968,1,0.30214,0.61519,0.28237,1.77937,3.92555,1.44008,0.00113624,0.00113624,0.00113624
3,10.9933,1.72914,3.01503,1.33247,0.42964,0.36842,0.45939,0.23222,1.77331,3.46453,1.56553,0.00170865,0.00170865,0.00170865
4,14.4535,1.60088,2.42976,1.23466,0.91884,0.68421,0.7815,0.37775,1.61823,2.0788,1.40898,0.0019802,0.0019802,0.0019802
5,18.0051,1.615,2.14118,1.28049,0.75757,0.68421,0.74987,0.3489,1.76956,2.56792,1.58859,0.0019736,0.0019736,0.0019736
6,21.454,1.62382,1.88634,1.24207,0.83856,0.89474,0.8354,0.4867,1.3304,1.4095,1.16485,0.001967,0.001967,0.001967
7,24.9271,1.48817,1.64624,1.20199,0.87986,0.7716,0.86014,0.4526,1.53272,1.37696,1.28534,0.0019604,0.0019604,0.0019604
8,28.3899,1.51152,1.48955,1.21184,0.79768,0.73684,0.81811,0.44967,1.50102,1.71929,1.16426,0.0019538,0.0019538,0.0019538
9,31.8145,1.43899,1.30079,1.20732,0.83582,0.80437,0.83115,0.42003,1.56115,1.7722,1.31042,0.0019472,0.0019472,0.0019472
10,35.2949,1.435,1.18542,1.20656,0.88333,0.79735,0.92827,0.50237,1.28558,1.10861,1.08458,0.0019406,0.0019406,0.0019406
11,38.7836,1.45689,1.21701,1.17849,0.75099,0.84211,0.83342,0.44445,1.51451,1.09107,1.13375,0.001934,0.001934,0.001934
12,42.206,1.451,1.1342,1.15234,0.86328,0.68421,0.82315,0.50865,1.36706,0.96135,1.12628,0.0019274,0.0019274,0.0019274
13,45.6614,1.49478,1.11785,1.19737,0.88821,0.8366,0.90142,0.53176,1.42523,1.11207,1.18252,0.0019208,0.0019208,0.0019208
14,49.1421,1.34651,1.04404,1.13977,0.9004,0.84211,0.95828,0.53635,1.44061,1.08702,1.22936,0.0019142,0.0019142,0.0019142
15,52.6021,1.48427,1.10658,1.19253,0.92726,0.73684,0.91775,0.59627,1.3093,0.94928,1.08514,0.0019076,0.0019076,0.0019076
16,56.0485,1.40102,1.0064,1.15646,0.83901,0.54961,0.69561,0.45689,1.39065,1.48557,1.13138,0.001901,0.001901,0.001901
17,59.4943,1.28252,0.94151,1.09612,0.96655,0.94737,0.98818,0.61856,1.31977,0.84696,1.10034,0.0018944,0.0018944,0.0018944
18,62.9207,1.33083,0.94429,1.13222,1,0.98915,0.995,0.53565,1.28082,0.88842,1.06525,0.0018878,0.0018878,0.0018878
19,66.3269,1.32395,0.89982,1.12534,0.90279,0.97824,0.97919,0.58662,1.22128,0.81806,1.01989,0.0018812,0.0018812,0.0018812
20,69.7564,1.24817,0.87076,1.12363,0.86062,0.97557,0.9761,0.58809,1.21244,0.88265,1.00666,0.0018746,0.0018746,0.0018746
21,73.187,1.2961,0.84367,1.11558,0.84457,0.94737,0.95274,0.6153,1.1256,0.86445,1.06525,0.001868,0.001868,0.001868
22,76.6238,1.27029,0.84934,1.10891,0.8763,0.84211,0.89177,0.60109,1.24048,0.80898,1.05294,0.0018614,0.0018614,0.0018614
23,80.1165,1.35609,0.90334,1.13118,0.82835,0.78947,0.85571,0.44341,1.61716,1.13361,1.18894,0.0018548,0.0018548,0.0018548
24,83.6571,1.26817,0.87334,1.10905,0.88859,0.83966,0.86062,0.47049,1.43233,1.18684,1.16931,0.0018482,0.0018482,0.0018482
25,87.1518,1.23748,0.81306,1.09656,0.88442,0.94737,0.92376,0.60699,1.32793,0.80803,1.17215,0.0018416,0.0018416,0.0018416
26,90.5866,1.29939,0.79736,1.10973,0.86055,0.94737,0.97818,0.5842,1.21947,0.73667,1.09258,0.001835,0.001835,0.001835
27,94.0157,1.29288,0.81838,1.10254,0.96449,0.89474,0.94339,0.56603,1.43442,0.86414,1.19303,0.0018284,0.0018284,0.0018284
